PlayerName,STATUS,Season,Age,CareerLength,Lg,GP,G,A,PTS,+/-,PIM,EV,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,RET,Career,,20 yrs,NHL,1487,894,1963,2857,520,577,617,204,73,91,1201,686,76,5088,17.6,3232,46:10:00,
Roberto Luongo,RET,Career,,19 yrs,NHL,1044,614,489,392,124,2515,30924,28409,0.919,2.52,77,59878,360,0.586,75,90,270.3,
Gordie Howe,RET,Career,,26 yrs,NHL,1767,801,1049,1850,160,1685,566,211,24,121,684,353,12,3803,10.1,,,
Jaromir Jagr,RET,Career,,24 yrs,NHL,1733,766,1155,1921,322,1167,538,217,11,135,758,393,4,5637,13.6,6629,24972,21:41
Alex Ovechkin,ACTV,Career,,19 yrs,NHL,1426,652,0.6,0.49,1.09,0.46,0.57,4.65,954,749,1703,725,2242,939,1279,22,45,171.7
Sidney Crosby,ACTV,Career,,19 yrs,NHL,1272,592,1004,1596,217,823,416,172,4,90,609,388,7,4072,14.5,6399,26316,20:41
Nathan MacKinnon,ACTV,Career,,11 yrs,NHL,791,335,564,899,147,348,240,93,2,64,367,195,2,3172,10.6,5396,16058,20:18
Auston Matthews,ACTV,Career,,8 yrs,NHL,562,368,281,649,140,114,274,94,0,61,196,84,1,2273,16.2,3966,11123,19:48
Connor McDavid,ACTV,Career,,9 yrs,NHL,645,335,647,982,149,249,249,78,8,69,383,255,9,2211,15.2,3545,13995,21:42
Bobby Hull,RET,Career,,16 yrs,NHL,1063,610,560,1170,249,634,437,154,19,98,380,170,10,4577,12.7,,,
Bobby Orr,RET,Career,,12 yrs,NHL,657,270,645,915,582,953,178,76,16,26,366,248,31,3058,8.8,,,
Drew Doughty,ACTV,Career,,16 yrs,NHL,1177,156,513,669,60,769,74,80,2,33,289,217,7,2443,6.4,5299,30850,26:13:00
Anze Kopitar,ACTV,Career,,18 yrs,NHL,1373,419,792,1211,94,344,285,120,14,71,476,303,13,3230,13,5599,28699,20:54
Steven Stamkos,ACTV,Career,,16 yrs,NHL,1082,555,582,1137,46,631,336,214,5,85,371,208,3,3332,16.7,6085,20733,19:10
Patrick Kane,ACTV,Career,,17 yrs,NHL,1230,471,813,1284,16,442,345,126,0,75,521,291,1,4058,11.6,6959,24818,20:11
Brent Burns,ACTV,Career,,20 yrs,NHL,1415,255,626,881,4,827,164,88,3,42,381,231,14,3877,6.6,8464,31769,22:27
Evgeni Malkin,ACTV,Career,,18 yrs,NHL,1145,498,798,1296,52,1160,315,179,4,83,484,313,1,3685,13.5,6297,22515,19:40
